"period","zone","group","measure","value"
"2008-2010","S01001795","Current Smoker","Count",0
"2009-2011","S01001795","Current Smoker","Count",0
"2007-2009","S01001795","Current Smoker","Count",0
"2001-2003","S01001795","Not Known If Smoking","Ratio","47.83"
"2000-2002","S01001795","Former Smoker","Ratio","10.53"
"2003-2005","S01001795","Current Smoker","Ratio","4.35"
"2004-2006","S01001795","Former Smoker","Ratio","10.53"
"2002-2004","S01001795","Not Known If Smoking","Ratio","29.17"
"2009-2011","S01001795","Current Smoker","Ratio",0
"2007-2009","S01001795","Former Smoker","Ratio",0
"2006-2008","S01001795","Current Smoker","Ratio","4.55"
"2003-2005","S01001795","Not Known If Smoking","Ratio","8.7"
"2004-2006","S01001795","Not Known If Smoking","Ratio",0
"2005-2007","S01001795","Current Smoker","Ratio","4.55"
"2002-2004","S01001795","Former Smoker","Ratio","4.17"
"2005-2007","S01001795","Not Known If Smoking","Ratio","4.55"
"2005-2007","S01001795","Former Smoker","Ratio","9.09"
"2003-2005","S01001795","Former Smoker","Ratio","4.35"
"2001-2003","S01001795","Current Smoker","Ratio",0
"2008-2010","S01001795","Former Smoker","Ratio",0
"2006-2008","S01001795","Not Known If Smoking","Ratio","4.55"
"2010-2012","S01001795","Former Smoker","Ratio",0
"2011-2013","S01001795","Former Smoker","Ratio",0
"2006-2008","S01001795","Former Smoker","Ratio","4.55"
"2001-2003","S01001795","Former Smoker","Ratio","4.35"
"2007-2009","S01001795","Current Smoker","Ratio",0
"2009-2011","S01001795","Former Smoker","Ratio",0
"2010-2012","S01001795","Current Smoker","Ratio",0
"2002-2004","S01001795","Never Smoked","Ratio","62.5"
"2007-2009","S01001795","Never Smoked","Ratio","95.24"
"2007-2009","S01001795","Not Known If Smoking","Ratio","4.76"
"2008-2010","S01001795","Not Known If Smoking","Ratio","7.14"
"2011-2013","S01001795","Current Smoker","Ratio",0
"2008-2010","S01001795","Never Smoked","Ratio","92.86"
"2009-2011","S01001795","Never Smoked","Ratio",90
"2000-2002","S01001795","Never Smoked","Ratio","31.58"
"2008-2010","S01001795","Current Smoker","Ratio",0
"2003-2005","S01001795","Never Smoked","Ratio","82.61"
"2009-2011","S01001795","Not Known If Smoking","Ratio",10
"2010-2012","S01001795","Not Known If Smoking","Ratio","12.5"
"2004-2006","S01001795","Never Smoked","Ratio","78.95"
"2000-2002","S01001795","Current Smoker","Ratio",0
"2002-2004","S01001795","Current Smoker","Ratio","4.17"
"2001-2003","S01001795","Never Smoked","Ratio","47.83"
"2000-2002","S01001795","Not Known If Smoking","Ratio","57.89"
"2010-2012","S01001795","Never Smoked","Ratio","87.5"
"2005-2007","S01001795","Never Smoked","Ratio","81.82"
"2006-2008","S01001795","Never Smoked","Ratio","86.36"
"2004-2006","S01001795","Current Smoker","Ratio","10.53"
"2011-2013","S01001795","Never Smoked","Ratio",100
"2011-2013","S01001795","Not Known If Smoking","Ratio",0
"2001-2003","S01001796","Former Smoker","Count",1
"2004-2006","S01001796","Former Smoker","Count",0
"2000-2002","S01001796","Former Smoker","Count",1
"2009-2011","S01001796","Former Smoker","Count",2
"2002-2004","S01001796","Former Smoker","Count",1
"2007-2009","S01001796","Former Smoker","Count",1
"2005-2007","S01001796","Former Smoker","Count",0
"2008-2010","S01001796","Former Smoker","Count",1
"2010-2012","S01001796","Former Smoker","Count",1
"2003-2005","S01001796","Former Smoker","Count",1
"2011-2013","S01001796","Former Smoker","Count",2
"2006-2008","S01001796","Former Smoker","Count",0
"2009-2011","S01001796","Never Smoked","Count",6
"2002-2004","S01001796","Never Smoked","Count",12
"2007-2009","S01001796","Never Smoked","Count",11
"2008-2010","S01001796","Never Smoked","Count",5
"2000-2002","S01001796","Never Smoked","Count",12
"2003-2005","S01001796","Never Smoked","Count",7
"2004-2006","S01001796","Never Smoked","Count",6
"2001-2003","S01001796","Never Smoked","Count",12
"2011-2013","S01001796","Never Smoked","Count",10
"2005-2007","S01001796","Never Smoked","Count",7
"2006-2008","S01001796","Never Smoked","Count",11
"2010-2012","S01001796","Never Smoked","Count",9
"2001-2003","S01001796","Not Known If Smoking","Count",0
"2002-2004","S01001796","Not Known If Smoking","Count",0
"2003-2005","S01001796","Not Known If Smoking","Count",0
"2004-2006","S01001796","Not Known If Smoking","Count",0
"2005-2007","S01001796","Not Known If Smoking","Count",0
"2006-2008","S01001796","Not Known If Smoking","Count",1
"2007-2009","S01001796","Not Known If Smoking","Count",1
"2008-2010","S01001796","Not Known If Smoking","Count",1
"2009-2011","S01001796","Not Known If Smoking","Count",0
"2010-2012","S01001796","Not Known If Smoking","Count",0
"2000-2002","S01001796","Not Known If Smoking","Count",1
"2011-2013","S01001796","Not Known If Smoking","Count",0
"2006-2008","S01001796","Current Smoker","Count",0
"2002-2004","S01001796","Current Smoker","Count",0
"2005-2007","S01001796","Current Smoker","Count",0
"2010-2012","S01001796","Current Smoker","Count",0
"2000-2002","S01001796","Current Smoker","Count",0
"2004-2006","S01001796","Current Smoker","Count",0
"2003-2005","S01001796","Current Smoker","Count",0
"2001-2003","S01001796","Current Smoker","Count",0
"2011-2013","S01001796","Current Smoker","Count",0
"2008-2010","S01001796","Current Smoker","Count",1
"2009-2011","S01001796","Current Smoker","Count",1
"2007-2009","S01001796","Current Smoker","Count",1
"2001-2003","S01001796","Not Known If Smoking","Ratio",0
"2000-2002","S01001796","Former Smoker","Ratio","7.14"
"2003-2005","S01001796","Current Smoker","Ratio",0
"2004-2006","S01001796","Former Smoker","Ratio",0
"2002-2004","S01001796","Not Known If Smoking","Ratio",0
"2009-2011","S01001796","Current Smoker","Ratio","11.11"
"2007-2009","S01001796","Former Smoker","Ratio","7.14"
"2006-2008","S01001796","Current Smoker","Ratio",0
"2003-2005","S01001796","Not Known If Smoking","Ratio",0
"2004-2006","S01001796","Not Known If Smoking","Ratio",0
"2005-2007","S01001796","Current Smoker","Ratio",0
"2002-2004","S01001796","Former Smoker","Ratio","7.69"
"2005-2007","S01001796","Not Known If Smoking","Ratio",0
"2005-2007","S01001796","Former Smoker","Ratio",0
"2003-2005","S01001796","Former Smoker","Ratio","12.5"
"2001-2003","S01001796","Current Smoker","Ratio",0
"2008-2010","S01001796","Former Smoker","Ratio","12.5"
"2006-2008","S01001796","Not Known If Smoking","Ratio","8.33"
"2010-2012","S01001796","Former Smoker","Ratio",10
"2011-2013","S01001796","Former Smoker","Ratio","16.67"
"2006-2008","S01001796","Former Smoker","Ratio",0
"2001-2003","S01001796","Former Smoker","Ratio","7.69"
"2007-2009","S01001796","Current Smoker","Ratio","7.14"
"2009-2011","S01001796","Former Smoker","Ratio","22.22"
"2010-2012","S01001796","Current Smoker","Ratio",0
"2002-2004","S01001796","Never Smoked","Ratio","92.31"
"2007-2009","S01001796","Never Smoked","Ratio","78.57"
"2007-2009","S01001796","Not Known If Smoking","Ratio","7.14"
"2008-2010","S01001796","Not Known If Smoking","Ratio","12.5"
"2011-2013","S01001796","Current Smoker","Ratio",0
"2008-2010","S01001796","Never Smoked","Ratio","62.5"
"2009-2011","S01001796","Never Smoked","Ratio","66.67"
"2000-2002","S01001796","Never Smoked","Ratio","85.71"
"2008-2010","S01001796","Current Smoker","Ratio","12.5"
"2003-2005","S01001796","Never Smoked","Ratio","87.5"
"2009-2011","S01001796","Not Known If Smoking","Ratio",0
"2010-2012","S01001796","Not Known If Smoking","Ratio",0
"2004-2006","S01001796","Never Smoked","Ratio",100
"2000-2002","S01001796","Current Smoker","Ratio",0
"2002-2004","S01001796","Current Smoker","Ratio",0
"2001-2003","S01001796","Never Smoked","Ratio","92.31"
"2000-2002","S01001796","Not Known If Smoking","Ratio","7.14"
"2010-2012","S01001796","Never Smoked","Ratio",90
"2005-2007","S01001796","Never Smoked","Ratio",100
"2006-2008","S01001796","Never Smoked","Ratio","91.67"
"2004-2006","S01001796","Current Smoker","Ratio",0
"2011-2013","S01001796","Never Smoked","Ratio","83.33"
"2011-2013","S01001796","Not Known If Smoking","Ratio",0
"2001-2003","S01001797","Former Smoker","Count",3
"2004-2006","S01001797","Former Smoker","Count",1
"2000-2002","S01001797","Former Smoker","Count",0
"2009-2011","S01001797","Former Smoker","Count",2
"2002-2004","S01001797","Former Smoker","Count",3
"2007-2009","S01001797","Former Smoker","Count",1
"2005-2007","S01001797","Former Smoker","Count",1
"2008-2010","S01001797","Former Smoker","Count",2
"2010-2012","S01001797","Former Smoker","Count",3
"2003-2005","S01001797","Former Smoker","Count",3
"2011-2013","S01001797","Former Smoker","Count",2
"2006-2008","S01001797","Former Smoker","Count",2
"2009-2011","S01001797","Never Smoked","Count",11
"2002-2004","S01001797","Never Smoked","Count",9
"2007-2009","S01001797","Never Smoked","Count",17
"2008-2010","S01001797","Never Smoked","Count",14
"2000-2002","S01001797","Never Smoked","Count",7
"2003-2005","S01001797","Never Smoked","Count",10
"2004-2006","S01001797","Never Smoked","Count",11
"2001-2003","S01001797","Never Smoked","Count",6
"2011-2013","S01001797","Never Smoked","Count",10
"2005-2007","S01001797","Never Smoked","Count",10
"2006-2008","S01001797","Never Smoked","Count",13
"2010-2012","S01001797","Never Smoked","Count",7
"2001-2003","S01001797","Not Known If Smoking","Count",3
"2002-2004","S01001797","Not Known If Smoking","Count",1
"2003-2005","S01001797","Not Known If Smoking","Count",0
"2004-2006","S01001797","Not Known If Smoking","Count",0
"2005-2007","S01001797","Not Known If Smoking","Count",0
"2006-2008","S01001797","Not Known If Smoking","Count",1
"2007-2009","S01001797","Not Known If Smoking","Count",1
"2008-2010","S01001797","Not Known If Smoking","Count",5
"2009-2011","S01001797","Not Known If Smoking","Count",4
"2010-2012","S01001797","Not Known If Smoking","Count",4
"2000-2002","S01001797","Not Known If Smoking","Count",6
"2011-2013","S01001797","Not Known If Smoking","Count",0
"2006-2008","S01001797","Current Smoker","Count",1
"2002-2004","S01001797","Current Smoker","Count",2
"2005-2007","S01001797","Current Smoker","Count",1
"2010-2012","S01001797","Current Smoker","Count",3
"2000-2002","S01001797","Current Smoker","Count",2
"2004-2006","S01001797","Current Smoker","Count",1
"2003-2005","S01001797","Current Smoker","Count",1
"2001-2003","S01001797","Current Smoker","Count",1
"2011-2013","S01001797","Current Smoker","Count",2
"2008-2010","S01001797","Current Smoker","Count",3
"2009-2011","S01001797","Current Smoker","Count",4
"2007-2009","S01001797","Current Smoker","Count",3
"2001-2003","S01001797","Not Known If Smoking","Ratio","23.08"
"2000-2002","S01001797","Former Smoker","Ratio",0
"2003-2005","S01001797","Current Smoker","Ratio","7.14"
"2004-2006","S01001797","Former Smoker","Ratio","7.69"
"2002-2004","S01001797","Not Known If Smoking","Ratio","6.67"
"2009-2011","S01001797","Current Smoker","Ratio","19.05"
"2007-2009","S01001797","Former Smoker","Ratio","4.55"
"2006-2008","S01001797","Current Smoker","Ratio","5.88"
"2003-2005","S01001797","Not Known If Smoking","Ratio",0
"2004-2006","S01001797","Not Known If Smoking","Ratio",0
"2005-2007","S01001797","Current Smoker","Ratio","8.33"
"2002-2004","S01001797","Former Smoker","Ratio",20
"2005-2007","S01001797","Not Known If Smoking","Ratio",0
"2005-2007","S01001797","Former Smoker","Ratio","8.33"
"2003-2005","S01001797","Former Smoker","Ratio","21.43"
"2001-2003","S01001797","Current Smoker","Ratio","7.69"
"2008-2010","S01001797","Former Smoker","Ratio","8.33"
"2006-2008","S01001797","Not Known If Smoking","Ratio","5.88"
"2010-2012","S01001797","Former Smoker","Ratio","17.65"
"2011-2013","S01001797","Former Smoker","Ratio","14.29"
"2006-2008","S01001797","Former Smoker","Ratio","11.76"
"2001-2003","S01001797","Former Smoker","Ratio","23.08"
"2007-2009","S01001797","Current Smoker","Ratio","13.64"
"2009-2011","S01001797","Former Smoker","Ratio","9.52"
"2010-2012","S01001797","Current Smoker","Ratio","17.65"
"2002-2004","S01001797","Never Smoked","Ratio",60
"2007-2009","S01001797","Never Smoked","Ratio","77.27"
"2007-2009","S01001797","Not Known If Smoking","Ratio","4.55"
"2008-2010","S01001797","Not Known If Smoking","Ratio","20.83"
"2011-2013","S01001797","Current Smoker","Ratio","14.29"
"2008-2010","S01001797","Never Smoked","Ratio","58.33"
"2009-2011","S01001797","Never Smoked","Ratio","52.38"
"2000-2002","S01001797","Never Smoked","Ratio","46.67"
"2008-2010","S01001797","Current Smoker","Ratio","12.5"
"2003-2005","S01001797","Never Smoked","Ratio","71.43"
"2009-2011","S01001797","Not Known If Smoking","Ratio","19.05"
"2010-2012","S01001797","Not Known If Smoking","Ratio","23.53"
"2004-2006","S01001797","Never Smoked","Ratio","84.62"
"2000-2002","S01001797","Current Smoker","Ratio","13.33"
"2002-2004","S01001797","Current Smoker","Ratio","13.33"
"2001-2003","S01001797","Never Smoked","Ratio","46.15"
"2000-2002","S01001797","Not Known If Smoking","Ratio",40
"2010-2012","S01001797","Never Smoked","Ratio","41.18"
"2005-2007","S01001797","Never Smoked","Ratio","83.33"
"2006-2008","S01001797","Never Smoked","Ratio","76.47"
"2004-2006","S01001797","Current Smoker","Ratio","7.69"
"2011-2013","S01001797","Never Smoked","Ratio","71.43"
"2011-2013","S01001797","Not Known If Smoking","Ratio",0
"2001-2003","S01001798","Former Smoker","Count",0
"2004-2006","S01001798","Former Smoker","Count",0
"2000-2002","S01001798","Former Smoker","Count",0
"2009-2011","S01001798","Former Smoker","Count",2
"2002-2004","S01001798","Former Smoker","Count",0
"2007-2009","S01001798","Former Smoker","Count",0
"2005-2007","S01001798","Former Smoker","Count",0
"2008-2010","S01001798","Former Smoker","Count",1
"2010-2012","S01001798","Former Smoker","Count",2
"2003-2005","S01001798","Former Smoker","Count",0
"2011-2013","S01001798","Former Smoker","Count",2
"2006-2008","S01001798","Former Smoker","Count",0
"2009-2011","S01001798","Never Smoked","Count",10
"2002-2004","S01001798","Never Smoked","Count",7
"2007-2009","S01001798","Never Smoked","Count",8
"2008-2010","S01001798","Never Smoked","Count",8
"2000-2002","S01001798","Never Smoked","Count",10
"2003-2005","S01001798","Never Smoked","Count",8
"2004-2006","S01001798","Never Smoked","Count",12
"2001-2003","S01001798","Never Smoked","Count",5
"2011-2013","S01001798","Never Smoked","Count",7
"2005-2007","S01001798","Never Smoked","Count",10
"2006-2008","S01001798","Never Smoked","Count",11
"2010-2012","S01001798","Never Smoked","Count",7
"2001-2003","S01001798","Not Known If Smoking","Count",6
"2002-2004","S01001798","Not Known If Smoking","Count",2
"2003-2005","S01001798","Not Known If Smoking","Count",1
"2004-2006","S01001798","Not Known If Smoking","Count",0
"2005-2007","S01001798","Not Known If Smoking","Count",0
"2006-2008","S01001798","Not Known If Smoking","Count",2
"2007-2009","S01001798","Not Known If Smoking","Count",2
"2008-2010","S01001798","Not Known If Smoking","Count",3
"2009-2011","S01001798","Not Known If Smoking","Count",1
"2010-2012","S01001798","Not Known If Smoking","Count",1
"2000-2002","S01001798","Not Known If Smoking","Count",7
"2011-2013","S01001798","Not Known If Smoking","Count",0
"2006-2008","S01001798","Current Smoker","Count",0
"2002-2004","S01001798","Current Smoker","Count",1
"2005-2007","S01001798","Current Smoker","Count",0
"2010-2012","S01001798","Current Smoker","Count",0
"2000-2002","S01001798","Current Smoker","Count",1
"2004-2006","S01001798","Current Smoker","Count",0
"2003-2005","S01001798","Current Smoker","Count",0
"2001-2003","S01001798","Current Smoker","Count",1
"2011-2013","S01001798","Current Smoker","Count",0
"2008-2010","S01001798","Current Smoker","Count",0
"2009-2011","S01001798","Current Smoker","Count",0
"2007-2009","S01001798","Current Smoker","Count",0
"2001-2003","S01001798","Not Known If Smoking","Ratio",50
"2000-2002","S01001798","Former Smoker","Ratio",0
"2003-2005","S01001798","Current Smoker","Ratio",0
"2004-2006","S01001798","Former Smoker","Ratio",0
"2002-2004","S01001798","Not Known If Smoking","Ratio",20
"2009-2011","S01001798","Current Smoker","Ratio",0
"2007-2009","S01001798","Former Smoker","Ratio",0
"2006-2008","S01001798","Current Smoker","Ratio",0
"2003-2005","S01001798","Not Known If Smoking","Ratio","11.11"
"2004-2006","S01001798","Not Known If Smoking","Ratio",0
"2005-2007","S01001798","Current Smoker","Ratio",0
"2002-2004","S01001798","Former Smoker","Ratio",0
"2005-2007","S01001798","Not Known If Smoking","Ratio",0
"2005-2007","S01001798","Former Smoker","Ratio",0
"2003-2005","S01001798","Former Smoker","Ratio",0
"2001-2003","S01001798","Current Smoker","Ratio","8.33"
"2008-2010","S01001798","Former Smoker","Ratio","8.33"
"2006-2008","S01001798","Not Known If Smoking","Ratio","15.38"
"2010-2012","S01001798","Former Smoker","Ratio",20
"2011-2013","S01001798","Former Smoker","Ratio","22.22"
"2006-2008","S01001798","Former Smoker","Ratio",0
"2001-2003","S01001798","Former Smoker","Ratio",0
"2007-2009","S01001798","Current Smoker","Ratio",0
